,Nama Hotel,Alamat Hotel,Nama Kota,Nama Provinsi,Room Type,Deskripsi Room,Rating,Stars,Gambar,lat,long
0,Ananta Legian Hotel,"Jalan Wekudara No.539, Legian, Badung - Bali, Legian, Kuta, Bali, Indonesia, 83061",Kabupaten Badung,Bali,Deluxe,"AC,Air Mineral,Kopi, Teh,Minibar,Televisi,Desk,Brankas dalam kamar,Setrika",4,4,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10022056-52e90d5c0d8dbf085f144404a5a770d9.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.697605,115.1641123
1,Saninten Inn,"Jalan Saninten No 65 Bandung, Jalan Riau, Bandung, Jawa Barat, Indonesia, 40115",Kota Bandung,Jawa Barat,Deluxe,"AC,Air Mineral,In-house movie,Kopi, Teh,Televisi,Desk,Balkon / teras,Blackout curtains",4.91,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20009382-b4842dca59c2ffefe72ba24cdc10b7ff.png?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.9061101,107.6178656
2,Heef Hotel,"Jalan Samanhudi Raya No. 3, Pasar baru, Sawah Besar, Jakarta Pusat 10710, Pasar Baru, Sawah Besar, Jakarta, Indonesia, 10710",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Standard,"AC,Air Mineral,Kopi, Teh,Televisi,Desk,Brankas dalam kamar",4.42,2,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10032579-d7d8ada1ce20ab1c36da79f0de0347f2.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.1609681,106.8321989
3,Hadi Poetra Hotel,"Jalan Raya Kuta No.323 , Kuta Badung- Bali , Kuta, Badung, Bali, Indonesia, 80361",Kabupaten Badung,Bali,Deluxe,Ruang bebas asap rokok,4.02,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10004980-13be61b16037b8dd3027b53b0ea97a38.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.7282338,115.1766794
4,Travelers Inn Dago,"Jalan Aria Jipang No. 6, Dago, Bandung, Jawa Barat, Indonesia, 40115",Kota Bandung,Jawa Barat,Superior,Ruang bebas asap rokok,4.25,2,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10018902-54e1deec65212069c3a8471fd12c0063.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.8993376,107.6156364
5,favehotel Zainul Arifin (Gajah Mada),"Jalanl. K.H. Zainul Arifin No. 15-17 , Gambir, Petojo Utara, Jakarta, Indonesia, 10130",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Standard,"AC,Air Mineral,Kopi, Teh,Televisi,Desk,Brankas dalam kamar",4.42,2,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007046-0be62e59c51a814d88ec89e14947b25f.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.1605012,106.816456
6,Hideaway Villas Bali Uluwatu by Kanaan Hospitality,"Jl. Bangbang Bendot Gang Hideaway, Uluwatu, Kuta Selatan, Bali, Indonesia, 80361",Kabupaten Badung,Bali,Standard,"AC,Air Mineral,Kopi, Teh,Televisi,Desk,Brankas dalam kamar, Ruang bebas asap rokok",4.07,5,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10009794-716a85925b882c85a783ff1425216f86.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.8249692,115.1364794
7,The Jayakarta Bali Beach Resort & Spa,"Jl. Werkudara, Legian, Kuta, Bali, Indonesia, 80333",Kabupaten Badung,Bali,Standard,Akses internet,4,4,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000829-1365x1365-FIT_AND_TRIM-37aaa80e14f607cf24ec77393ece3a22.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.6994998,115.1672129
8,Blue Sky Hotel Petamburan,"Jalan Aipda KS Tubun No. 19 Petamburan , Tanah Abang, Petamburan, Jakarta, Indonesia, 10260",Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Deluxe,"AC,Air Mineral,Kopi, Teh,Minibar,Televisi,Desk,Brankas dalam kamar,Blackout curtains",4.25,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000697-edaabd3abf05bad6c4379f93882122a5.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.189172,106.807918
9,Rofa Kuta Hotel,"Jalan Nakula Timur No.9, Legian, Kuta, Bali, Indonesia, 80361",Kabupaten Badung,Bali,Superior,"AC,Air Mineral,Kopi, Teh,Televisi,Desk",4.08,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000249-3ed30f65540659933cb801e7c2561878.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.6990326,115.1751359
10,Prime Plaza Suites Sanur ?C Bali,"Jalan Bypass Ngurah Rai 83 Sanur, Sanur, Bali, Indonesia, 80228",Kota Denpasar,Bali,Standard,"AC,Air Mineral,Kopi, Teh,Kulkas,Televisi,Desk,Brankas dalam kamar,Separate dining area,Microwave,Dapur",4.05,4,"https://ik.imagekit.io/tvlk/generic-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/traveloka/hotel/asset/10001180-1348x899-FIT_AND_TRIM-285d793d6971b3948be4a0d6ff51869a.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.6938785,115.2594949
11,Maple Hotel Grogol,"Jalan Daan Mogot Dalam Kali sekertaris no. 55, Grogol, Grogol Petamburan, Tanjung Duren, Jakarta, Indonesia, 11470",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,Superior,"AC,Air Mineral,Televisi,Brankas dalam kamar,Blackout curtains",4.25,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10039691-d7c0f58bbea95ba5e33c00b468a17db7.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.166239,106.7825926
12,Candi Beach Resort and Spa,"Mendira Beach Sengkidu Candi Dasa Kecamatan Karangasem, Candidasa, Karangasem, Bali, Indonesia, 80033",Kabupaten Karangasem,Bali,Deluxe,Ruang bebas asap rokok,4.58,4,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002969-25d3d93626f953b369295ff7a67631d7.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.4995354,115.5555238
13,Tendean Residences,"Jalan Wolter Monginsidi ( Kapten Tendean ) No 127, Mampang, Tendean, Jakarta, Indonesia, 12180",Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Deluxe,Akses internet,4.05,2,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10034808-1872x1404-FIT_AND_TRIM-423e0672687520724a8cb98e4d8cb4a7.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.2386072,106.8172748
14,Prana Villa Jimbaran,"Jl. Bukit Permai,Kav 9, Komplek Mimpi resort, Jimbaran Kuta Selatan Bali , Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",Kabupaten Badung,Bali,Villa,"AC,Air Mineral,Kulkas,Televisi,Kolam renang privat,Desk,Balkon / teras,Separate dining area,Blackout curtains,Microwave,Dapur",4.42,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20014841-aae2dad8f3ebeb7d3b151cdff57cb29c.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.7833031,115.1554753
15,Mars City Hotel,"Jalan Kerta Dalem, Sidakarya, Sanur, Sidakarya, Denpasar Selatan, Denpasar, Bali, Indonesia, 80224",Kota Denpasar,Bali,Standard,"AC,Air Mineral,Televisi,Desk,Brankas dalam kamar",3.15,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000211-2272x1515-FIT_AND_TRIM-adaa23aa614b6818c83613e56776e1e6.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-8.6981933,115.2340048
16,MaxOneHotels.com @ Glodok - Jakarta,"Jl. Pasar Glodok Selatan , Glodok, Taman Sari, Jakarta, Indonesia, 11120",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,Standard,"AC,Air Mineral,Kopi, Teh,Televisi,Desk,Brankas dalam kamar",4.42,3,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000630-927ec1eb377b2d3f98dc62ac3bb1e84c.jpeg?tr=q-40,c-at_max,w-1280,h-720&_src=imagekit",-6.1441708,106.8147592
