,Nama Hotel,Nama Kota,Provinsi,Latitude,Longitude,Luas Kamar,Kapasitas,Rating,Harga
0,grandkemang Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2555643,106.8107929,22,3,4.03,543750
1,Royal Kuningan Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2091015,106.8307041,30,4,4.42,609768
2,The Grove Suites by GRAND ASTON,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.22,106.835112,34,2,4.58,1134955
3,Millennium Hotel Sirih Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.18,106.8167078,30,1,4.05,764599
4,Aryaduta Suite Semanggi,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2177618,106.8163984,32,3,4.42,1057500
5,ASTON Kartika Grogol Hotel & Conference Center,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.167617,106.791587,27,4,4.05,812250
6,Hotel Santika Taman Mini Indonesia Indah,Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,-6.3,106.8853648,27,3,4.02,900000
7,JS Luwansa Hotel And Convention Center,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2208878,106.8319545,26,4,4.05,950000
8,Swiss-Belinn Simatupang Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2900329,106.7793073,20,3,4.42,670000
9,Harris Tebet Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.22,106.8474877,26,4,4.42,764150
10,Manhattan Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2257761,106.8323711,32,2,4.25,1393650
11,Grand Orchardz Hotel Kemayoran,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1471331,106.8397477,30,3,4.58,800000
12,Somerset Sudirman Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.2110555,106.8127858,25,2,4.75,1028970
13,Grand Hyatt Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1938149,106.8224236,45,2,4.58,3617900
14,Sheraton Grand Jakarta Gandaria City Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2455151,106.7820279,35,2,4.75,2214300
15,Harris Suites FX Sudirman,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2221061,106.8016087,27,4,4.42,1091880
16,ASTON Pluit Hotel & Residence,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.12,106.7976893,36,3,4.25,657422
17,Swiss-Belresidences Rasuna Epicentrum,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2182742,106.8342935,30,3,4.08,778000
18,favehotel PGC Cililitan,Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta,-6.2623669,106.8654652,18,3,4,382400
19,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1671238,106.7885105,27,3,4.42,780000
20,Hotel Santika Premiere Slipi Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1981266,106.8022596,32,2,4.05,798000
21,Grand Tropic Suites Hotel,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.145124,106.784245,45,3,4,560500
22,Hilton Garden Inn Jakarta Taman Palem,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1389783,106.7289553,24,3,4.42,968000
23,Sari Pacific Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1855357,106.8239218,30,2,4.03,1078469
24,Hariston Hotel & Suites,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.14,106.7928421,26,2,4.03,420000
25,HARRIS Hotel & Convention Kelapa Gading,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1420296,106.9111727,28,2,4.05,898200
26,Grand Whiz Poins Simatupang Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2898909,106.7781135,18,3,4.05,515373
27,HARRIS Suites Puri Mansion,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.18,106.7281633,26,2,4.03,567800
28,Mercure Jakarta Gatot Subroto - CHSE Certified,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2417153,106.861032,26,1,4.05,844580
29,Mercure Convention Center Ancol - CHSE Certified,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1253743,106.8386941,10,1,4.03,994500
30,Amaris Hotel Thamrin City - Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1880022,106.8232721,15,3,4.02,400400
31,eL Hotel Royale Jakarta,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1533397,106.8969531,18,2,4.25,503500
32,Menara Peninsula Hotel Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.19,106.7979327,28,2,4.03,518500
33,DoubleTree by Hilton Jakarta - Diponegoro,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.2,106.8430968,32,3,4.07,2147750
34,InterContinental Hotels JAKARTA PONDOK INDAH,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2797486,106.7813564,46,2,4.75,3448500
35,Swiss-Belhotel Airport Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.12,106.6907121,27,2,4.42,880001
36,All Sedayu Hotel Kelapa Gading,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.156725,106.8990133,26,2,4.05,688750
37,ASTON Kemayoran City Hotel,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1629567,106.8457012,24,3,4.42,977900
38,AONE Hotel,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.19,106.828047,24,2,4.05,666666
39,Swiss-Belhotel Pondok Indah,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2835829,106.781621,29,3,4.42,705000
40,Horison Suites & Residences Rasuna Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.216301,106.830776,50,3,3.15,1061100
41,Teraskita Hotel Jakarta managed by Dafam,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2415362,106.8612139,25,3,4.05,485925
42,Kartika One Hotel - Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.3513454,106.8327445,18,2,4.03,386000
43,Ashley Sabang Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1840404,106.824521,23,4,4.42,890888
44,Hotel Orchardz Jayakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1408585,106.8238853,28,3,4.05,427500
45,Citadines Rasuna Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2196816,106.8320175,47,2,4.58,1257630
46,Sunlake Hotel,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1484807,106.8791148,54,3,4.05,641250
47,Redtop Hotel & Convention Center,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.163475,106.8272431,28,3,4.42,694260
48,Ashley Tanah Abang,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1866666,106.8173307,26,2,4.75,927799
49,Hotel Neo+ Kebayoran  Jakarta by ASTON,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2371883,106.7756717,20,3,4.25,464888
50,d'primahotel Melawai - Blok M,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2452304,106.7993006,18,1,4.02,250325
51,Veranda Hotel at Pakubuwono,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2396952,106.7858531,26,2,4.05,811800
52,Kuretakeso Kemang Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.26,106.815043,18,2,4.05,625000
53,Swiss-Belinn Kemayoran,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1490455,106.8508688,25,2,4.03,580000
54,Ascott Kuningan Jakarta,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.219005,106.8199073,30,3,4.58,3201240
55,Hotel Gren Alia Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.18,106.8352834,32,4,4.58,550000
56,Hotel Santika Premiere Hayam Wuruk Jakarta,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.1484804,106.8167776,22,3,4.58,835000
57,Juno Tanah Abang Jakarta,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.19,106.817266,17,4,4.05,520888
58,POP! Hotel Kelapa Gading,North Jakarta City,Daerah Khusus Ibukota Jakarta,-6.1588448,106.8945456,18,2,4.25,397100
59,Ambhara Hotel,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2435068,106.8037101,23,3,4.25,375000
60,Holiday Inn Express JAKARTA THAMRIN,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta,-6.1998215,106.8225851,20,2,4.25,770584
61,ASTON Bellevue Radio Dalam,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2835829,106.781621,26,2,4.03,675000
62,Pullman Jakarta Central Park,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,-6.174963,106.7900134,32,1,4.42,1968912
63,POP! Hotel Airport Jakarta,Kota Tangerang,Banten,-6.1172384,106.682237,16,3,4.58,385200
64,Goodrich Suites,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.26,106.8086932,45,2,4.05,1203188
65,Ozone Hotel Pantai Indah Kapuk Jakarta,Kota Jakarta Utara,Daerah Khusus Ibukota Jakarta,-6.1083871,106.7557863,14,2,4.02,495000
66,Ra Premiere Simatupang,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta,-6.2930123,106.8018029,30,2,4.05,703000
